muntjac,muntjac,muntjac
mushroom coral,ಅಣಬೆ ಹವಳ,Mushroom coral
mushy peas,ಮೆತ್ತಗಿನ ಅವರೆಕಾಳು,Mushy peas
music box,ಸಂಗೀತ ಪೆಟ್ಟಿಗೆ,Music Box
music school,ಸಂಗೀತ ಶಾಲೆ,Music School
music stool,ಸಂಗೀತ ಸ್ಟೂಲ್,The music stool
music teacher,ಸಂಗೀತ ಶಿಕ್ಷಕ,Music Teacher
Muslimah,Muslimah,Muslimah
mussel,ಮಸ್ಸೆಲ್,Mussel
mustache cup,ಮೀಸೆ ಕಪ್,Mustache Cup
mustang,ಮುಸ್ತಾಂಗ್,Mustang
mustard,ಸಾಸಿವೆ,Mustard
Mutillidae,Mutillidae,Mutillidae
muzzle,ಮೂತಿ,Prow
Mycenaen,ಮೈಸಿನೇಯನ್,Of the Mycenaean
myeloblast,myeloblast,myeloblast
myelogram,myelogram,myelogram
myna,ಮೀನಾ,Meena
myriapod,myriapod,myriapod
myrmecophyte,myrmecophyte,myrmecophyte
myrrh tree,ರಕ್ತಬೋಳ ಮರ,Myrrh tree
myrtle beech,ಮಿರ್ಟ್ಲ್ ಹುಲಗಲಮರ,Myrtle beech
myxobacteria,myxobacteria,myxobacteria
nagi,ಪೆಗ್,Peg
nail-tailed wallaby,ಉಗುರು ಬಾಲದ ಗಿಡ್ಡ ಜಾತಿಯ ಕಾಂಗರೂ,Nail-tailed wallaby
nailbrush,nailbrush,nailbrush
naked mole rat,ಬರಿಯ ಮೋಲ್ ಇಲಿ,The naked mole rat
namby-pamby,ಮುದ್ದಿನ,Pets
name dropper,ಹೆಸರು ಡ್ರಾಪರ್ಗಳ,Name Dropper
nameko,Nameko,Nameko
namer,ಹೆಸರು,The name
Namibian,ನಮಿಬಿಯಾ,Namibian
nan,ಆಫ್,Of
Nantua,Nantua,Nantua
narcissist,ನಾರ್ಸಿಸಿಸ್ಟ್,Narcissist
nark,ಹೆಲ್,Hell
narrow goldenrod,ಕಿರಿದಾದ goldenrod,The narrow goldenrod
narrow-leaf penstemon,ಕಿರಿದಾದ ಎಲೆ penstemon,Narrow-leaf penstemon
narthex,ಪ್ರಾಚೀನ ಚರ್ಚಿನ ಪಶ್ಚಿಮ ಭಾಗದ ಮುಖಮಂಟಪ,Narthex
nasturtium,ನಸ್ಟರ್ಷಿಯಮ್,Nasturtium
national,ರಾಷ್ಟ್ರೀಯ,The National
native,ಸ್ಥಳೀಯ,The local
native cat,ಸ್ಥಳೀಯ ಬೆಕ್ಕು,Local cat
Navaho,Navaho,Navaho
naval equipment,ನೌಕಾ ಉಪಕರಣಗಳನ್ನು,Naval equipment
naval radar,ನೌಕಾ ರೇಡಾರ್,Naval Radar
naval weaponry,ನೌಕಾ ಆಯುಧಗಳನ್ನು,Naval weaponry
navel orange,ಹೊಕ್ಕುಳ ಕಿತ್ತಳೆ,Navel orange
navy bean,ನೌಕಾ ಹುರುಳಿ,Navy bean
Nazarene,ನಾಜರೆನೆ,Nazarene
Neandertal man,ನಿಯಾಂಡರ್ತಾಲ್ ವ್ಯಕ್ತಿ,Neanderthal man
Neapolitan ice cream,ನಿಯಾಪೊಲಿಟನ್ ಐಸ್ ಕ್ರೀಮ್,Neapolitan Ice Cream
neckband,ಕೊರಳಪಟ್ಟಿ,Neckband
nectar,ಮಕರಂದ,Nectar
nectarine,ನೆಕ್ಟರಿನ್,Nectarines
needlework,ಕಸೂತಿ,Embroidery
neem,ತೆಗೆದುಕೊಳ್ಳಬಹುದು,Take
neonate,ನವಜಾತ,Newborns
Nepal trumpet flower,ನೇಪಾಳ ಕಹಳೆ ಹೂವಿನ,Nepal Trumpet Flower
nephew,ಸೋದರಳಿಯ,Nephew
nephthytis,Macrostelia,Macrostelia
nerita,nerita,nerita
Nesselrode,Nesselrode,Nesselrode
nestling,ಎಳೆಯ ಮರಿಗಳ,Nestling
net,ನಿವ್ವಳ,Net
net melon,ನಿವ್ವಳ ಕಲ್ಲಂಗಡಿ,The net melon
neuroglia,ನ್ಯೂರೊಗ್ಲಿಯಾ,Neuroglia
neurosurgeon,ನರಶಸ್ತ್ರಚಿಕಿತ್ಸಕ,Neurosurgery
neutral spirits,ಮದ್ಯಾರ್ಕಗಳು,Spirits
neutron bomb,ನ್ಯೂಟ್ರಾನ್ ಬಾಂಬ್,Neutron Bomb
new caledonian pine,ಹೊಸ ಸ್ಕಾಟ್ಲ್ಯಾಂಡ್ ನಿವಾಸಿ ಪೈನ್,The new caledonian pine
New England aster,ನ್ಯೂ ಇಂಗ್ಲೆಂಡ್ ಆಸ್ಟರ್,New England Aster
New Hampshirite,ಹೊಸ Hampshirite,ಹೊಸ Hampshirite
New Jerseyan,ಹೊಸ Jerseyan,ಹೊಸ Jerseyan
New World blackbird,ನ್ಯೂ ವರ್ಲ್ಡ್ ಬ್ಲಾಕ್ಬರ್ಡ್,New World blackbird
New World chat,ನ್ಯೂ ವರ್ಲ್ಡ್ ಚಾಟ್,New World chat
New World flycatcher,ನ್ಯೂ ವರ್ಲ್ಡ್ ಫ್ಲೈಕ್ಯಾಚರ್,New World flycatcher
New World porcupine,ನ್ಯೂ ವರ್ಲ್ಡ್ ಮುಳ್ಳುಹಂದಿ,New World Porcupine
New World sparrow,ನ್ಯೂ ವರ್ಲ್ಡ್ ಗುಬ್ಬಚ್ಚಿ,New World sparrow
New Zealand wren,ನ್ಯೂಜಿಲ್ಯಾಂಡ್ ಹಕ್ಕಿ,New Zealand bird
New Zealander,ನ್ಯೂಜಿಲೆಂಡ್,New Zealand
newcomer,ಹೊಸದರಲ್ಲಿ,Newcomer
newel,ಕಂಬವನ್ನು,Pole
newswoman,ಸುದ್ದಿಗಾರ್ತಿಯನ್ನಾಗಿ,Newswoman
newt,ನ್ಯೂಟ್,Newt
night jasmine,ರಾತ್ರಿ ಮಲ್ಲಿಗೆ,Night jasmine
night lizard,ರಾತ್ರಿ ಹಲ್ಲಿ,Night lizard
night porter,ರಾತ್ರಿ ಪೋರ್ಟರ್,Night Porter
night-blooming cereus,ರಾತ್ರಿ ಹೂಬಿಡುವ Cereus,Night Blooming Cereus
nightgown,nightgown,nightgown
nightshade,ಸೊಲೇನಮ್,Nightshade
nightshirt,ನೈಟ್ಶರ್ಟ್,Nightshirt
nightwear,ಪಾಯಿಜಾಮ,Nightwear
niqaabi,niqaabi,niqaabi
Nobelist,ನೊಬೆಲ್,Nobel
NOC,ರಾತ್ರಿಯಲ್ಲಿನ,NIGHT
nombril,ಹೊಕ್ಕುಳ,The navel
noncommissioned officer,noncommissioned ಅಧಿಕಾರಿ,noncommissioned officer
Nonconformist,ಹೊಂದಾಣಿಕೆ ಮಾಡಿಕೊಳ್ಳದ,Those who do not match
nondescript,ಅಪೂರ್ಣ,Incomplete
nondriver,nondriver,nondriver
nonfat dry milk,nonfat ಒಣ ಹಾಲು,nonfat dry milk
nonmember,ಸದಸ್ಯನಲ್ಲದ,Nonmember
nonpareil,nonpareil,nonpareil
nonpasserine bird,nonpasserine ಹಕ್ಕಿ,nonpasserine bird
nonsmoker,ಧೂಮಪಾನ ಮಾಡದವ,Smoking madadava
noria,noria,noria
Northern Baptist,ಉತ್ತರ ಬ್ಯಾಪ್ಟಿಸ್ಟ್,Southern Baptist
Northern bedstraw,ಉತ್ತರ bedstraw,Northern bedstraw
northern oriole,ಉತ್ತರ ಸೀತೆ ಹಕ್ಕಿ,Northern oriole
northern pike,ಉತ್ತರ ಪೈಕ್,Northern Pike
northern whiting,ಉತ್ತರ ಸೀಮೆಸುಣ್ಣದ ಪುಡಿ,Northern whiting
Norway spruce,ನಾರ್ವೆ ಸ್ಪ್ರೂಸ್,Norway spruce
Norwegian elkhound,ನಾರ್ವೆಯನ್ ಎಲ್ಕ್ಹೌಂಡ್,Norwegian Elkhound
nose flute,ಮೂಗಿನ ಕೊಳಲು,Nose flute
nosebag,ತೋಬರಿ,Nosebag
Nova Scotian,ನೋವಾ Scotian,Scottish ನೋವಾ
nuclear reactor,ಪರಮಾಣು ರಿಯಾಕ್ಟರ್,Nuclear reactor
nuclear rocket,ಪರಮಾಣು ರಾಕೆಟ್,Nuclear rocket
nude,ನಗ್ನ,Nude
nude mouse,ನಗ್ನ ಮೌಸ್,Nude mouse
nurse,ನರ್ಸ್,The Nurse
nurse shark,ನರ್ಸ್ ಶಾರ್ಕ್,Nurse Shark
nut and bolt,ನಟ್ ಮತ್ತು ಬೋಲ್ಟ್,Nut and bolt
nut tree,ಅಡಿಕೆ ಮರ,Nut tree
nutmeg,ಜಾಯಿಕಾಯಿ,Nutmeg
nyala,ಜ್ವಾಲೆಯ,The flame
nymphet,ಚಿಕ್ಕ ವಯಸ್ಸಿನ ಅಪ್ಸರೆ,Nymphet
oak,ಓಕ್,Oak
oak chestnut,ಓಕ್ ಚೆಸ್ಟ್ನಟ್,Chestnut Oak
oak fern,ಓಕ್ ಜರೀಗಿಡ,Oak fern
oarswoman,ಅಂಬಿಗಿತ್ತಿ,Oarswoman
oat,ಓಟ್,Oatmeal
oatmeal,ರಷ್ಟನ್ನು,Oatmeal
obeche,ಪಶ್ಚಿಮ ಆಫ್ರಿಕದ ಒಂದು ಬಗೆಯ ಮರದ ನಸುಬಣ್ಣದ ದಾರು,Obeche
obelisk,ತೂಕದ,Weight
observatory,ಸಮೀಕ್ಷಾ,Survey
obstetrical toad,ಪ್ರಸೂತಿ ಟೋಡ್,Obstetrical toad
ocean floor,ಸಾಗರ ತಳ,Ocean floor
ocellated turkey,ocellated ಟರ್ಕಿ,ocellated turkey
ocelot,ಚಿರತೆ ಬೆಕ್ಕು,Ocelot
oconee bells,OCONEE ಘಂಟೆಗಳು,OCONEE bells
octagon,ಅಷ್ಟಭುಜ ಆಕಾರ,Octagon
octant,ಅಷ್ಟಾಂಶಕ,Octant
octopus,ಆಕ್ಟೋಪಸ್,Octopus
office boy,ಕಚೇರಿ ಹುಡುಗ,Office boy
office building,ಕಚೇರಿ ಕಟ್ಟಡ,Office Building
office furniture,ಕಚೇರಿ ಪೀಠೋಪಕರಣಗಳು,Office Furniture
officeholder,ಕಚೇರಿ,Office
officer's mess,ಅಧಿಕಾರಿಗಳ ಅವ್ಯವಸ್ಥೆ,Officers Mess
Ohio buckeye,ಓಹಿಯೋ ಅಮೆರಿಕದ ಓಹಿಯೋ,Ohio buckeye
oil beetle,ತೈಲ ಜೀರುಂಡೆ,Oil beetle
oil cake,ತೈಲ ಕೇಕ್,Oil Cake
oil pump,ತೈಲ ಪಂಪ್,Oil Pump
oil tanker,ತೈಲ ಟ್ಯಾಂಕರ್,The oil tanker
oil tycoon,ತೈಲ ಉದ್ಯಮಿ,Oil tycoon
oilcan,ಎಣ್ಣೆ ಡಬ್ಬ,Oil-bin
oilskin,ಮೇಣಗಪಟ,Oilskin
okra,ಬೆಂಡೆಕಾಯಿ,Okra
old boy,ಹಳೆ ಹುಡುಗ,Old boy
old lady,ವಯಸ್ಸಾದ ಹೆಂಗಸು,Elderly woman
old school tie,ಹಳೆಯ ಶಾಲಾ ಟೈ,The old school tie
Old World least weasel,ಓಲ್ಡ್ ವರ್ಲ್ಡ್ ಕನಿಷ್ಠ ಮುಂಗಸಿ,Old World at least weasel
Old World warbler,ಓಲ್ಡ್ ವರ್ಲ್ಡ್ ಉಲಿಯಕ್ಕಿ,Old World warbler
Old World yew,ಓಲ್ಡ್ ವರ್ಲ್ಡ್ ಯೂ,Old World yew
old-age pensioner,ವೃದ್ಧಾಶನಿ,Old-age pensioner
old-man-of-the-woods,ಹಳೆಯ ವ್ಯಕ್ತಿ ಯಾ ಕಾಡಿನಲ್ಲಿ,The old man-of-the woods
oldster,ವಯಸ್ಸಾದವನು,Oldster
oligodendrocyte,oligodendrocyte,oligodendrocyte
olive,ಆಲಿವ್,Olive
olive drab,ಆಲಿವ್ ಮಂಕು,Olive drab
Olmec,ಒಲ್ಮೆಕ್,Olmec
olympic salamander,ಒಲಿಂಪಿಕ್ ಬೆಂಕಿಮೊಸಳೆಗಳು,Olympic salamander
onager,ಬಂಡೆಕವಣೆ,Onager
oncidium,oncidium,oncidium
onion,ಈರುಳ್ಳಿ,Onions
onion bagel,ಈರುಳ್ಳಿ ಬಾಗಲ್,Onion Bagel
onion bread,ಈರುಳ್ಳಿ ಬ್ರೆಡ್,Onion Bread
